"Guid","Subcategory","EventID","SourceUrl","Fetched"
"0CCE9236-69AE-11D9-BED3-505054503030","Computer Account Management","4742","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-computer-account-management","2026-09-04"
"0CCE9236-69AE-11D9-BED3-505054503030","Computer Account Management","4743","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-computer-account-management","2026-09-04"
"0CCE923F-69AE-11D9-BED3-505054503030","Credential Validation","4774","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-credential-validation","2026-09-04"
"0CCE923F-69AE-11D9-BED3-505054503030","Credential Validation","4775","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-credential-validation","2026-09-04"
"0CCE923F-69AE-11D9-BED3-505054503030","Credential Validation","4776","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-credential-validation","2026-09-04"
"0CCE923F-69AE-11D9-BED3-505054503030","Credential Validation","4777","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-credential-validation","2026-09-04"
"0CCE923B-69AE-11D9-BED3-505054503030","Directory Service Access","4661","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-access","2026-09-04"
"0CCE923B-69AE-11D9-BED3-505054503030","Directory Service Access","4662","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-access","2026-09-04"
"0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","5136","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-changes","2026-09-04"
"0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","5137","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-changes","2026-09-04"
"0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","5138","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-changes","2026-09-04"
"0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","5139","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-changes","2026-09-04"
"0CCE923C-69AE-11D9-BED3-505054503030","Directory Service Changes","5141","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-directory-service-changes","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4744","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4745","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4746","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4747","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4748","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4749","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4750","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4751","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
"0CCE9238-69AE-11D9-BED3-505054503030","Distribution Group Management","4752","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-distribution-group-management","2026-09-04"
